dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,r2_score,mse,rmse,mae,mape,train_r2,test_r2
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_01_of_05.json,classification,target,logistic,success,,0.868,0.8531,0.9152,0.883,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_02_of_05.json,classification,target,logistic,success,,0.868,0.8531,0.9152,0.883,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_03_of_05.json,classification,target,logistic,success,,0.868,0.8531,0.9152,0.883,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_04_of_05.json,classification,target,logistic,success,,0.868,0.8531,0.9152,0.883,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_05_of_05.json,classification,target,logistic,success,,0.868,0.8531,0.9152,0.883,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_01_of_05.json,classification,Cancer Present,logistic,success,,0.856,0.8546,0.858,0.8563,3000.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_02_of_05.json,classification,Cancer Present,logistic,success,,0.856,0.8546,0.858,0.8563,3000.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_03_of_05.json,classification,Cancer Present,logistic,success,,0.856,0.8546,0.858,0.8563,3000.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_04_of_05.json,classification,,,failed,invalid literal for int() with base 10: '0.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_05_of_05.json,classification,Cancer Present,logistic,success,,0.856,0.8546,0.858,0.8563,3000.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_01_of_05.json,classification,,,failed,invalid literal for int() with base 10: '0.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_02_of_05.json,classification,Cancer Present,logistic,success,,0.8442,0.8448,0.8409,0.8429,2138.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_03_of_05.json,classification,Cancer Present,logistic,success,,0.8442,0.8448,0.8409,0.8429,2138.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_04_of_05.json,classification,Cancer Present,logistic,success,,0.8442,0.8448,0.8409,0.8429,2138.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_05_of_05.json,classification,Cancer Present,logistic,success,,0.8442,0.8448,0.8409,0.8429,2138.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled__variant_01_of_05.json,classification,,,success,,,,,,,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_scaled.csv,,0.0,[],,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled__variant_02_of_05.json,classification,Cancer Present,gradient_boosting,success,,,,,,428.0,2.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled.pkl,1.0,['2:train_classification_model'],classification,0.9363,0.8832,0.0531,1710.0,"['Gene One', 'Gene Two']",/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled.pkl,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled__variant_03_of_05.json,classification,Cancer Present,logistic,success,,0.8442,0.8448,0.8409,0.8429,2138.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled__variant_04_of_05.json,classification,Cancer Present,logistic,success,,0.8442,0.8448,0.8409,0.8429,2138.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
