Rank,Dataset,Task Type,Best Variant,Model,Metric,Status,Target Column,Error
1,regression__mid__rupals_gpu-runtime__sgemm_product,regression,01_of_05,linear,1.0,success,Run4 (ms),
2,regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse,regression,01_of_05,linear,1.0,success,Price(USD),
3,regression__easy__govindaramsriram_crop-yield-of-a-farm__crop_yield_data,regression,01_of_05,linear,1.0,success,crop_yield,
4,classification__mid__uciml_iris__Iris,classification,03_of_05,logistic,1.0,success,Species,
5,regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset ,classification,01_of_05,decision_tree,0.9996,success,diagnosed_diabetes,
6,classification__mid__tanishqdublish_text-classification-documentation__df_file,classification,02_of_05,logistic,0.9996,success,Label,
7,regression__easy__zubairdhuddi_linear-regression__test,regression,04_of_05,random_forest,0.9919,success,y,
8,classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification,01_of_05,svm,0.987,success,target,
9,classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset,classification,02_of_05,random_forest,0.9852,success,Class,
10,regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds,regression,03_of_05,gradient_boosting,0.9836,success,total_sales_price,
11,classification__easy__uciml_glass__glass,classification,02_of_05,random_forest,0.9673,success,Type,
12,regression__mid__camnugent_california-housing-prices__housing,regression,04_of_05,random_forest,0.9388,success,median_house_value,
13,regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan,regression,01_of_05,ridge,0.9372,success,RiskScore,
14,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification,01_of_05,logistic,0.9307,success,diabetes,
15,classification__easy__yasserh_wine-quality-dataset__WineQT,classification,04_of_05,knn,0.8976,success,quality,
16,classification__mid__uciml_pima-indians-diabetes-database__diabetes,classification,04_of_05,gradient_boosting,0.8932,success,Outcome,
17,classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification,02_of_05,logistic,0.8899,success,cyberbullying_type,
18,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification,03_of_05,logistic,0.8899,success,cyberbullying_type,
19,classification__easy__abhishek14398_heart-disease-classification__heart,classification,01_of_05,logistic,0.868,success,target,
20,classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease,classification,01_of_05,logistic,0.868,success,target,
21,classification__easy__yasserh_heart-disease-dataset__heart,classification,01_of_05,logistic,0.868,success,target,
22,classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new,classification,05_of_05,decision_tree,0.8614,success,target,
23,classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog,classification,01_of_05,logistic,0.8593,success,target,
24,classification__mid__fedesoriano_heart-failure-prediction__heart,classification,01_of_05,logistic,0.8562,success,HeartDisease,
25,classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification,01_of_05,logistic,0.856,success,Cancer Present,
26,regression__hard__milanvaddoriya_old-car-price-prediction__car_price,classification,02_of_05,logistic,0.8478,success,Seats,
27,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification,03_of_05,logistic,0.8442,success,Cancer Present,
28,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification,02_of_05,logistic,0.8442,success,Cancer Present,
29,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data_cleaned,classification,01_of_05,logistic,0.8286,success,diabetes,
30,classification__hard__shivamb_spam-url-prediction__url_spam_classification,classification,01_of_05,logistic,0.7968,success,is_spam,
31,regression__mid__mirichoi0218_insurance__insurance,regression,02_of_05,linear,0.7506,success,charges,
32,regression__easy__sakshisatre_the-boston-housing-dataset__Boston (1),regression,01_of_05,linear,0.7373,success,MEDV,
33,classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification,classification,01_of_05,logistic,0.6434,success,eyeDetection,
34,classification__easy__priyanshusethi_happiness-classification-dataset__happydata,classification,01_of_05,logistic,0.6014,success,happy,
35,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled,classification,01_of_05,logistic,0.5982,success,class,
36,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification,01_of_05,logistic,0.5982,success,class,
37,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded,classification,01_of_05,logistic,0.5982,success,class,
