dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,test_indices_file,r2_score,mse,rmse,mae,mape,train_r2,test_r2,model,evaluation_method,suspicious,difficulty,pipeline_variant
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_01_of_05.json,classification,target,logistic,success,,0.8852,0.8788,0.9062,0.8923,61.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_02_of_05.json,classification,target,logistic,success,,0.8852,0.8788,0.9062,0.8923,61.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_03_of_05.json,classification,target,logistic,success,,0.8852,0.8788,0.9062,0.8923,61.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_04_of_05.json,classification,target,logistic,success,,0.8852,0.8788,0.9062,0.8923,61.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart__variant_05_of_05.json,classification,target,logistic,success,,0.8852,0.8788,0.9062,0.8923,61.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_01_of_05.json,classification,Cancer Present,logistic,success,,0.8483,0.8175,0.8566,0.8366,600.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_02_of_05.json,classification,Cancer Present,logistic,success,,0.8483,0.8175,0.8566,0.8366,600.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_03_of_05.json,classification,Cancer Present,logistic,success,,0.8483,0.8175,0.8566,0.8366,600.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_04_of_05.json,classification,,,failed,invalid literal for int() with base 10: '0.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80,,,,,,,,,,,,,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression__variant_05_of_05.json,classification,Cancer Present,logistic,success,,0.8483,0.8175,0.8566,0.8366,600.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_01_of_05.json,classification,,,failed,invalid literal for int() with base 10: '0.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80.80,,,,,,,,,,,,,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_02_of_05.json,classification,Cancer Present,logistic,success,,0.8528,0.8592,0.8472,0.8531,428.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_03_of_05.json,classification,Cancer Present,logistic,success,,0.8528,0.8592,0.8472,0.8531,428.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_04_of_05.json,classification,Cancer Present,logistic,success,,0.8528,0.8592,0.8472,0.8531,428.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
