dataset_id,artifact_file,task_type,target_column,model_type,status,error,dataset_rows,usable_rows,feature_count,model_path,resolved_dataset_path,dropped_hyperparameters,train_accuracy,test_accuracy,precision,recall,f1_score,test_samples,n_classes,filepath_resolution_note,train_r2,test_r2,mse,rmse,mae
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart.json,classification,target,random_forest,success,,303.0,303.0,13.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,/app/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,3.0,1.0,0.8361,0.8583,0.8361,0.8313,61.0,2.0,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression.json,classification,Cancer Present,random_forest,success,,3000.0,3000.0,2.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,/app/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,1.0,0.975,0.9233,0.9233,0.9233,0.9233,600.0,2.0,Used fallback candidate filepath: /app/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,,,,,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.json,classification,class,random_forest,success,,100000.0,100000.0,17.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.pkl,/app/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,3.0,1.0,0.9797,0.9796,0.9797,0.9795,20000.0,3.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_scaled.csv,,,,,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.json,classification,diabetes,naive_bayes,success,,995.0,995.0,2.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.pkl,/app/data/uploads/datasets/classification/easy/himanshunakrani_naive-bayes-classification-data/Naive-Bayes-Classification-Data.csv,3.0,0.9397,0.9095,0.9095,0.9095,0.9095,199.0,2.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/easy/himanshunakrani_naive-bayes-classification-data/Naive-Bayes-Classification-Data_scaled.csv,,,,,
classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease,classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease.json,classification,target,random_forest,success,,303.0,303.0,13.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease.pkl,/app/data/uploads/datasets/classification/easy/mahmoudshaheen1134_heart-disease-data/heart disease.csv,3.0,1.0,0.8361,0.8583,0.8361,0.8313,61.0,2.0,Used fallback candidate filepath: /app/data/uploads/datasets/classification/easy/mahmoudshaheen1134_heart-disease-data/heart disease.csv,,,,,
classification__easy__priyanshusethi_happiness-classification-dataset__happydata,classification__easy__priyanshusethi_happiness-classification-dataset__happydata.json,classification,happy,random_forest,success,,143.0,143.0,6.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__priyanshusethi_happiness-classification-dataset__happydata.pkl,/app/data/uploads/datasets/classification/easy/priyanshusethi_happiness-classification-dataset/happydata.csv,3.0,0.9649,0.5862,0.5817,0.5862,0.5811,29.0,2.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/easy/priyanshusethi_happiness-classification-dataset/happydata_scaled.csv,,,,,
classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new,classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new.json,classification,target,random_forest,success,,303.0,303.0,13.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new.pkl,/app/data/uploads/datasets/classification/easy/ritwikb3_heart-disease-cleveland/Heart_disease_cleveland_new.csv,3.0,1.0,0.8852,0.8899,0.8852,0.8854,61.0,2.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/easy/ritwikb3_heart-disease-cleveland/Heart_disease_cleveland_new_scaled.csv,,,,,
classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog,classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog.json,classification,target,random_forest,success,,270.0,270.0,13.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog.pkl,/app/data/uploads/datasets/classification/easy/ritwikb3_heart-disease-statlog/Heart_disease_statlog.csv,3.0,1.0,0.8148,0.8181,0.8148,0.8153,54.0,2.0,,,,,,
classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification,classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification.json,classification,eyeDetection,random_forest,success,,14980.0,14980.0,14.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification.pkl,/app/data/uploads/datasets/classification/easy/robikscube_eye-state-classification-eeg-dataset/EEG_Eye_State_Classification.csv,3.0,1.0,0.9309,0.9314,0.9309,0.9307,2996.0,2.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/easy/robikscube_eye-state-classification-eeg-dataset/EEG_Eye_State_Classification_scaled.csv,,,,,
classification__easy__uciml_glass__glass,classification__easy__uciml_glass__glass.json,classification,Type,random_forest,success,,214.0,214.0,9.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__uciml_glass__glass.pkl,/app/data/uploads/datasets/classification/easy/uciml_glass/glass.csv,3.0,1.0,0.8372,0.8542,0.8372,0.8355,43.0,6.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/easy/uciml_glass/glass_scaled.csv,,,,,
classification__easy__yasserh_heart-disease-dataset__heart,classification__easy__yasserh_heart-disease-dataset__heart.json,classification,target,random_forest,success,,303.0,303.0,13.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__yasserh_heart-disease-dataset__heart.pkl,/app/data/uploads/datasets/classification/easy/yasserh_heart-disease-dataset/heart.csv,3.0,1.0,0.8361,0.8583,0.8361,0.8313,61.0,2.0,,,,,,
classification__easy__yasserh_wine-quality-dataset__WineQT,classification__easy__yasserh_wine-quality-dataset__WineQT.json,classification,quality,random_forest,success,,1143.0,1143.0,12.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__easy__yasserh_wine-quality-dataset__WineQT.pkl,/app/data/uploads/datasets/classification/easy/yasserh_wine-quality-dataset/WineQT.csv,3.0,1.0,0.7031,0.6687,0.7031,0.6817,229.0,6.0,,,,,,
classification__hard__abhishek14398_loan-dataset__loan,classification__hard__abhishek14398_loan-dataset__loan.json,classification,total_il_high_credit_limit,naive_bayes,failed,Insufficient usable rows after cleaning missing target/feature values,,,,,,,,,,,,,,,,,,,
classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.json,classification,cyberbullying_type,random_forest,success,,47692.0,47692.0,1.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.pkl,/app/data/uploads/datasets/classification/hard/andrewmvd_cyberbullying-classification/cyberbullying_tweets.csv,3.0,0.9731,0.9271,0.9271,0.9271,0.9271,9539.0,6.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/hard/andrewmvd_cyberbullying-classification/cyberbullying_tweets_encoded.csv,,,,,
classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification__hard__balaka18_email-spam-classification-dataset-csv__emails.json,classification,,,failed,"The least populated classes in y have only 1 member, which is too few. The minimum number of groups for any class cannot be less than 2. Classes with too few members are: [6]",,,,,,,,,,,,,,,,,,,
classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data.json,classification,CSAT Score,random_forest,success,,85907.0,85907.0,19.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data.pkl,/app/data/uploads/datasets/classification/hard/ddosad_ecommerce-customer-service-satisfaction/Customer_support_data.csv,1.0,1.0,0.691,0.5714,0.691,0.5928,17182.0,5.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/hard/ddosad_ecommerce-customer-service-satisfaction/Customer_support_data_encoded.csv,,,,,
classification__hard__hetulmehta_website-classification__website_classification,classification__hard__hetulmehta_website-classification__website_classification.json,classification,Category,random_forest,success,,1408.0,1408.0,3.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/classification__hard__hetulmehta_website-classification__website_classification.pkl,/app/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification.csv,3.0,1.0,0.9787,0.9799,0.9787,0.9787,282.0,16.0,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification_encoded.csv,,,,,
classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1.json,classification,,,failed,"The least populated classes in y have only 1 member, which is too few. The minimum number of groups for any class cannot be less than 2. Classes with too few members are: [9.0]",,,,,,,,,,,,,,,,,,,
