dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,r2_score,mse,rmse,mae,mape
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart.json,classification,target,random_forest,success,,0.967,0.9697,0.9697,0.9697,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/heart_train.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,8.0,"['1:read_file_head', '1:infer_data_types', '2:detect_missing_values', '3:split_dataset', '4:train_classification_model', '5:evaluate_classification_model', '5:get_classification_report', '5:calculate_confusion_matrix']",,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression.json,classification,Cancer Present,random_forest,success,,0.8668,0.843,0.8952,0.8684,428.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/gene_expression_cleaned_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/cancer_classification_model.pkl,6.0,"['1:remove_duplicates', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.json,classification,class,random_forest,success,,0.9738,0.9737,0.9738,0.9737,20000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/star_classification_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/star_classification_rf.pkl,9.0,"['1:load_csv', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix', '4:save_evaluation_results']",,,,,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.json,classification,diabetes,naive_bayes,success,,0.8286,0.8889,0.8889,0.8889,35.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Naive-Bayes-Classification-Data_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/naive_bayes_diabetes_model.pkl,8.0,"['1:remove_duplicates', '1:scale_features', '1:split_dataset', '2:train_classification_model', '3:evaluate_classification_model', '3:get_classification_report', '3:calculate_confusion_matrix', '3:save_evaluation_results']",,,,,
classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease,classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease.json,classification,target,random_forest,success,,0.8689,0.875,0.875,0.875,61.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/heart_disease_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/models/heart_disease_rf_model.pkl,9.0,"['1:read_file_head', '1:infer_data_types', '2:rename_columns', '2:scale_features', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__easy__priyanshusethi_happiness-classification-dataset__happydata,classification__easy__priyanshusethi_happiness-classification-dataset__happydata.json,classification,happy,random_forest,success,,0.96,0.9231,1.0,0.96,25.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/happydata_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/happiness_classifier.pkl,10.0,"['1:read_file_head', '1:validate_csv_structure', '2:remove_duplicates', '2:scale_features', '2:split_dataset', '3:train_classification_model', '3:get_feature_importance', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new,classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new.json,classification,target,random_forest,success,,1.0,1.0,1.0,1.0,61.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Heart_disease_cleveland_new_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/models/heart_disease_random_forest.pkl,9.0,"['1:read_file_head', '1:detect_missing_values', '1:detect_duplicates', '2:scale_features', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog,classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog.json,classification,target,random_forest,success,,0.9593,0.9658,0.9417,0.9536,270.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Heart_disease_statlog_train.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog.pkl,8.0,"['1:read_file_head', '1:get_basic_stats', '2:split_dataset', '2:scale_features', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification,classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification.json,classification,eyeDetection,random_forest,success,,1.0,1.0,1.0,1.0,2996.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/EEG_Eye_State_Classification_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/eye_state_classifier.pkl,8.0,"['1:read_file_head', '1:get_basic_stats', '2:scale_features', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:save_evaluation_results']",,,,,
classification__easy__uciml_glass__glass,classification__easy__uciml_glass__glass.json,classification,Type,random_forest,success,,0.9531,0.9537,0.9531,0.9528,213.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/glass_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/uciml_glass/glass_rf_model.pkl,9.0,"['1:load_csv', '1:detect_duplicates', '2:remove_duplicates', '2:scale_features', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__easy__uciml_glass__glass.sim_ai_workflow,classification__easy__uciml_glass__glass.sim_ai_workflow.json,unknown,,,failed,Workflow has no executable steps,,,,,,,,,,,,,,,,
classification__easy__yasserh_heart-disease-dataset__heart,classification__easy__yasserh_heart-disease-dataset__heart.json,classification,target,random_forest,success,,0.967,0.9697,0.9697,0.9697,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/heart_train.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/classification__easy__yasserh_heart-disease-dataset__heart.pkl,6.0,"['1:read_file_head', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__easy__yasserh_wine-quality-dataset__WineQT,classification__easy__yasserh_wine-quality-dataset__WineQT.json,classification,quality,random_forest,success,,0.9361,0.9368,0.9361,0.9361,1143.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/WineQT_train.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/classification__easy__yasserh_wine-quality-dataset__WineQT.pkl,8.0,"['1:read_file_head', '1:get_basic_stats', '2:split_dataset', '2:scale_features', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__hard__abhishek14398_loan-dataset__loan,classification__hard__abhishek14398_loan-dataset__loan.json,classification,total_il_high_credit_limit,naive_bayes,failed,Input y contains NaN.,,,,,,,,,,,,,,,,
classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.json,classification,cyberbullying_type,random_forest,success,,0.1657,0.0818,0.1657,0.0924,9539.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/cyberbullying_tweets_encoded_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/models/cyberbullying_classifier.pkl,7.0,"['1:read_file_head', '1:validate_csv_structure', '2:encode_categorical', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report']",,,,,
classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification__hard__balaka18_email-spam-classification-dataset-csv__emails.json,classification,target,svm,success,,0.987,0.9743,0.987,0.9806,5172.0,7.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/balaka18_email-spam-classification-dataset-csv/emails.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/classification__hard__balaka18_email-spam-classification-dataset-csv__emails.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,
classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data.json,classification,CSAT Score,random_forest,success,,0.7347,0.7249,0.7347,0.6395,49.0,5.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Customer_support_data_encoded_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/models/csat_classifier.pkl,11.0,"['1:read_file_head', '1:detect_missing_values', '1:infer_data_types', '2:handle_missing_values', '2:encode_categorical', '2:split_dataset', '3:train_classification_model', '3:get_feature_importance', '4:evaluate_classification_model', '4:get_classification_report', '4:save_evaluation_results']",,,,,
classification__hard__hetulmehta_website-classification__website_classification,classification__hard__hetulmehta_website-classification__website_classification.json,classification,Category,random_forest,success,,0.9943,0.9944,0.9943,0.9943,1408.0,16.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification_encoded.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification_model.pkl,9.0,"['1:load_csv', '1:validate_csv_structure', '2:remove_duplicates', '2:rename_columns', '2:encode_categorical', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:save_evaluation_results']",,,,,
classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1.json,classification,Durability,random_forest,failed,Input y contains NaN.,,,,,,,,,,,,,,,,
classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions.json,classification,sentiment,random_forest,success,,0.1985,0.1807,0.1985,0.1882,8000.0,13.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/tweet_emotions_encoded_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/sentiment_classifier.pkl,8.0,"['1:read_file_head', '1:infer_data_types', '2:encode_categorical', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:save_evaluation_results']",,,,,
classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.json,classification,labels,random_forest,failed,[Errno 28] No space left on device,,,,,,,,,,,,,,,,
classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset,classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset.json,classification,,,failed,[Errno 28] No space left on device,,,,,,,,,,,,,,,,
classification__hard__shivamb_spam-url-prediction__url_spam_classification,classification__hard__shivamb_spam-url-prediction__url_spam_classification.json,classification,is_spam,random_forest,success,,0.9042,0.0322,0.0662,0.0433,17517.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/url_spam_classification_encoded_train.csv,/home/joshua/Code/ai_projects/amalia/backend/models/url_spam_classifier.pkl,10.0,"['1:read_file_head', '1:validate_csv_structure', '1:infer_data_types', '2:remove_duplicates', '2:encode_categorical', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets.json,classification,cyberbullying_type,random_forest,success,,0.1657,0.0818,0.1657,0.0924,9539.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/cyberbullying_tweets_encoded_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/cyberbullying_classifier.pkl,7.0,"['1:read_file_head', '1:validate_csv_structure', '2:encode_categorical', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report']",,,,,
classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots,classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots.json,classification,round_winner,decision_tree,failed,"pos_label=1 is not a valid label. It should be one of ['CT', 'T']",,,,,,,,,,,,,,,,
classification__mid__fedesoriano_heart-failure-prediction__heart,classification__mid__fedesoriano_heart-failure-prediction__heart.json,classification,HeartDisease,random_forest,success,,0.8641,0.8131,0.9457,0.8744,184.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/heart_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/fedesoriano_heart-failure-prediction/heart_disease_model.pkl,11.0,"['1:read_file_head', '1:get_basic_stats', '1:infer_data_types', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_classification_model', '3:get_feature_importance', '4:evaluate_classification_model', '4:calculate_confusion_matrix', '4:save_evaluation_results']",,,,,
