dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,train_r2,test_r2,rmse,mae,mse,r2_score,mape
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart.json,classification,target,logistic,success,,0.8647,0.837,0.9333,0.8825,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,7.0,"['1:load_csv', '1:infer_data_types', '1:get_basic_stats', '2:handle_missing_values', '2:remove_duplicates', '3:train_classification_model', '4:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression.json,classification,Cancer Present,logistic,success,,0.856,0.8546,0.858,0.8563,3000.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.json,classification,class,logistic,success,,0.5982,0.447,0.5982,0.4794,100000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.json,classification,,,failed,"Index(['all'], dtype='object')",,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease,classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease.json,classification,target,logistic,success,,,,,,61.0,2.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/mahmoudshaheen1134_heart-disease-data/preprocessed/heart disease_unique_renamed.csv,/home/joshua/Code/ai_projects/amalia/backend/models/classification/heart_disease_model.h5,7.0,"['1:load_csv', '1:infer_data_types', '1:get_basic_stats', '2:handle_missing_values', '2:remove_duplicates', '2:rename_columns', '3:train_classification_model']",classification,0.8672,0.8197,0.0475,241.0,"['Age', 'Sex', 'CP', 'Trestbps', 'Chol', 'Fbs', 'Restecg', 'Thalach', 'Exang', 'Oldpeak', 'Slope', 'Ca', 'Thal']",/home/joshua/Code/ai_projects/amalia/backend/models/classification/heart_disease_model.h5,,,,,,,
classification__easy__priyanshusethi_happiness-classification-dataset__happydata,classification__easy__priyanshusethi_happiness-classification-dataset__happydata.json,classification,,,failed,"Index([13], dtype='int64')",,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new,classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new.json,classification,target,logistic,success,,0.8581,0.875,0.8058,0.839,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/ritwikb3_heart-disease-cleveland/Heart_disease_cleveland_new_encoded.csv,/home/joshua/Code/ai_projects/amalia/backend/models/classification/logistic,7.0,"['1:load_csv', '1:infer_data_types', '2:handle_missing_values', '2:remove_duplicates', '2:encode_categorical', '3:train_classification_model', '4:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog,classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog.json,classification,,,failed,get_column_info: Column 'None' not found,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification,classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification.json,classification,eyeDetection,random_forest,success,,0.9842,0.9899,0.9749,0.9823,14980.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/robikscube_eye-state-classification-eeg-dataset/EEG_Eye_State_Classification.csv,/home/joshua/Code/ai_projects/amalia/backend/models/classification_model,6.0,"['1:load_csv', '2:handle_missing_values', '2:remove_duplicates', '2:encode_categorical', '3:train_classification_model', '4:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__uciml_glass__glass,classification__easy__uciml_glass__glass.json,classification,Type,logistic,failed,[Errno 21] Is a directory: '/home/joshua/Code/ai_projects/amalia/backend/models/classification',,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__yasserh_heart-disease-dataset__heart,classification__easy__yasserh_heart-disease-dataset__heart.json,classification,target,random_forest,success,,,,,,61.0,2.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/yasserh_heart-disease-dataset/heart.csv,/home/joshua/Code/ai_projects/amalia/backend/models/heart_disease_model.pkl,7.0,"['1:load_csv', '2:infer_data_types', '2:get_column_info', '2:get_basic_stats', '2:read_file_head', '2:validate_csv_structure', '3:train_classification_model']",classification,1.0,0.8361,0.1639,242.0,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",/home/joshua/Code/ai_projects/amalia/backend/models/heart_disease_model.pkl,,,,,,,
classification__easy__yasserh_wine-quality-dataset__WineQT,classification__easy__yasserh_wine-quality-dataset__WineQT.json,classification,,,failed,get_column_info: Column 'None' not found,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__abhishek14398_loan-dataset__loan,classification__hard__abhishek14398_loan-dataset__loan.json,classification,total_il_high_credit_limit,naive_bayes,failed,Input y contains NaN.,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.json,classification,cyberbullying_type,logistic,failed,"The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- cyberbullying_type
",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification__hard__balaka18_email-spam-classification-dataset-csv__emails.json,classification,target,svm,success,,0.987,0.9743,0.987,0.9806,5172.0,7.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/balaka18_email-spam-classification-dataset-csv/emails.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/classification__hard__balaka18_email-spam-classification-dataset-csv__emails.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data.json,classification,,,failed,filter_rows: Unknown condition: not null,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__hetulmehta_website-classification__website_classification,classification__hard__hetulmehta_website-classification__website_classification.json,classification,Category,random_forest,failed,"The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- Category
",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1.json,classification,Durability,logistic,failed,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions.json,classification,,,failed,"keep must be either ""first"", ""last"" or False",,,,,,,,,,,,,,,,,,,,,,,,,
