dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,test_indices_file,train_r2,test_r2,rmse,mae,mse,r2_score,mape
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart.json,classification,target,logistic,success,,0.8525,0.8438,0.871,0.8571,61.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/llama_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,7.0,"['1:load_csv', '1:infer_data_types', '1:get_basic_stats', '2:handle_missing_values', '2:remove_duplicates', '3:train_classification_model', '4:evaluate_classification_model']",,,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression.json,classification,Cancer Present,logistic,success,,0.8483,0.8175,0.8566,0.8366,600.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/llama_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/llama_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.json,classification,,,failed,"Index(['all'], dtype='str')",,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease,classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease.json,classification,target,logistic,success,,,,,,61.0,2.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/mahmoudshaheen1134_heart-disease-data/preprocessed/heart disease_unique_renamed.csv,/home/joshua/Code/ai_projects/amalia/backend/models/classification/heart_disease_model.h5,7.0,"['1:load_csv', '1:infer_data_types', '1:get_basic_stats', '2:handle_missing_values', '2:remove_duplicates', '2:rename_columns', '3:train_classification_model']",classification,0.8672,0.8197,0.0475,241.0,"['Age', 'Sex', 'CP', 'Trestbps', 'Chol', 'Fbs', 'Restecg', 'Thalach', 'Exang', 'Oldpeak', 'Slope', 'Ca', 'Thal']",/home/joshua/Code/ai_projects/amalia/backend/models/classification/heart_disease_model.h5,/home/joshua/Code/ai_projects/amalia/backend/models/classification/heart_disease_model.h5,,,,,,,
classification__easy__priyanshusethi_happiness-classification-dataset__happydata,classification__easy__priyanshusethi_happiness-classification-dataset__happydata.json,classification,,,failed,"Index([13], dtype='int64')",,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new,classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new.json,classification,target,logistic,failed,"invalid load key, '['.",,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog,classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog.json,classification,,,failed,get_column_info: Column 'None' not found,,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification,classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification.json,classification,eyeDetection,random_forest,failed,"invalid load key, '['.",,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__uciml_glass__glass,classification__easy__uciml_glass__glass.json,classification,Type,logistic,failed,[Errno 21] Is a directory: '/home/joshua/Code/ai_projects/amalia/backend/models/classification',,,,,,,,,,,,,,,,,,,,,,,,,,
